2024-04-21 17:49:53.767839,hyperdbg-cli.e,1f9c,18f0,8,58,0,0,0
2024-04-21 17:49:53.768119,explorer.exe,15a0,16c4,5,c68f8d0,18,0,c68f8e8
2024-04-21 17:49:53.806290,explorer.exe,15a0,16c4,10aa,a04e0,2,1,0
2024-04-21 17:49:53.837380,explorer.exe,15a0,16c4,16,3476,7,c68d000,4
2024-04-21 17:49:53.868700,explorer.exe,15a0,1aec,16,2bb2,3,114dce0,188
2024-04-21 17:49:53.899926,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdd0,20
2024-04-21 17:49:53.931157,dwm.exe,418,6b4,111f,4,1b8cd1f478,1b8cd1f470,0
2024-04-21 17:49:53.962367,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdc0,20
2024-04-21 17:49:53.993646,explorer.exe,15a0,16c4,12b3,57010a1f,58,0,57010a1f
2024-04-21 17:49:54.024871,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcd80,20
2024-04-21 17:49:54.056076,explorer.exe,15a0,1648,f,261c,ffffffffffffffff,0,0
2024-04-21 17:49:54.087401,explorer.exe,15a0,604,4,25f0,0,0,b0edad0
2024-04-21 17:49:54.118618,explorer.exe,15a0,1678,f,3440,ffffffffffffffff,0,0
2024-04-21 17:49:54.149866,MsMpEng.exe,ddc,1ac,20,cb4,0,100,40
2024-04-21 17:49:54.181110,explorer.exe,15a0,1aec,17,294c,114e938,2,114e7f0
2024-04-21 17:49:54.212320,svchost.exe,820,868,1e,ffffffffffffffff,9986afc450,9986afc458,4000
2024-04-21 17:49:54.243585,explorer.exe,15a0,16c4,12b3,7f010d53,58,0,7f010d53
2024-04-21 17:49:54.274960,explorer.exe,15a0,16c4,1061,7f010d53,60,c68e7a0,7f
2024-04-21 17:49:54.306134,MsMpEng.exe,ddc,1ac,50,ffffffffffffffff,68a91fc2d8,68a91fc2d0,4
