2024-04-18 07:29:39.452190,hyperdbg-cli.e,24d8,24dc,8,58,0,0,0
2024-04-18 07:29:39.494185,dwm.exe,418,7cc,1335,2,0,0,1
2024-04-18 07:29:39.525335,dwm.exe,418,6d0,111f,4,cbe37af1e8,cbe37af1e0,0
2024-04-18 07:29:39.556623,conhost.exe,2498,24c8,146c,60562,0,2142febd8,2142fece0
2024-04-18 07:29:39.587826,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 07:29:39.619018,dwm.exe,418,7cc,90,470,b70,468,40001402
2024-04-18 07:29:39.650363,dwm.exe,418,7b4,172,45c,cbe3bff060,1,cbe3bff050
2024-04-18 07:29:39.681588,dwm.exe,418,7b4,172,45c,cbe3bff060,1,cbe3bff050
2024-04-18 07:29:39.712863,dwm.exe,418,7cc,90,364,b70,34c,40000002
2024-04-18 07:29:39.744138,dwm.exe,418,7b4,90,2cc,45c,198,40000002
2024-04-18 07:29:39.775479,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 07:29:39.806507,conhost.exe,2498,24c8,1469,60562,0,2142febd8,2142fece0
2024-04-18 07:29:39.837771,dwm.exe,418,7cc,172,b70,cbe3cff500,1,cbe3cff4f0
2024-04-18 07:29:39.869153,dwm.exe,418,7cc,1335,2,0,0,1
2024-04-18 07:29:39.900213,explorer.exe,1588,164c,100e,100ec,c018,0,2dde790
2024-04-18 07:29:39.931501,Taskmgr.exe,1284,1630,10dd,1e47a7f938,0,0,0
2024-04-18 07:29:39.962846,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:39.993975,conhost.exe,2498,24c8,1007,60562,20,60562,2000001
2024-04-18 07:29:40.025334,dwm.exe,418,7cc,5b,1,203e8ee1b60,1,0
2024-04-18 07:29:40.056483,conhost.exe,2498,24c8,5,2142ff880,18,0,2142ff3a1
2024-04-18 07:29:40.087819,conhost.exe,2498,24c8,1006,2142ff9c0,0,0,0
2024-04-18 07:29:40.118993,dwm.exe,418,7cc,172,b70,cbe3cff500,1,cbe3cff4f0
2024-04-18 07:29:40.150125,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 07:29:40.181357,lsass.exe,2e0,390,1a1,14,9,ad1d27f8f8,4
2024-04-18 07:29:40.212596,dwm.exe,418,7cc,5,cbe3cff3f0,18,0,0
2024-04-18 07:29:40.243988,dwm.exe,418,7b4,1b1,2a4,0,cbe3bff5b0,30
2024-04-18 07:29:40.275255,dwm.exe,418,7b4,111e,4,cbe3bff540,cbe3bff478,289dc
2024-04-18 07:29:40.306258,dwm.exe,418,7b4,113d,4,cbe3bff688,cbe3bff708,28b36
2024-04-18 07:29:40.337516,dwm.exe,418,7b4,1b1,2a4,0,cbe3bff5b0,30
2024-04-18 07:29:40.368925,dwm.exe,418,7cc,90,470,b70,468,40001402
2024-04-18 07:29:40.399969,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:40.431288,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 07:29:40.462501,explorer.exe,1588,158c,100e,10128,c018,0,52eea0
2024-04-18 07:29:40.493754,soffice.bin,23a4,23a8,5,15bf580,18,0,10010
2024-04-18 07:29:40.525083,soffice.bin,23a4,23a8,100e,203ea,a91f,1,6
2024-04-18 07:29:40.556352,dwm.exe,418,7cc,5,cbe3cff3f0,18,0,0
2024-04-18 07:29:40.587631,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:40.618862,soffice.bin,23a4,23a8,146c,203ea,46c,1,6
2024-04-18 07:29:40.650062,soffice.bin,23a4,23a8,a1,31b860,31b790,27f,a454a2f6358c
2024-04-18 07:29:40.681380,soffice.bin,23a4,23a8,5,15bf580,18,0,10010
2024-04-18 07:29:40.712553,soffice.bin,23a4,23a8,a1,31b860,31b790,27f,a454a2f6358c
2024-04-18 07:29:40.743825,soffice.bin,23a4,23a8,4101a,10005,766a6320,200202,766a100c
2024-04-18 07:29:40.775025,soffice.bin,23a4,23a8,11012,0,766a6320,200216,766a11ac
2024-04-18 07:29:40.806276,soffice.bin,23a4,23a8,4101a,10005,766a6320,200202,766a100c
2024-04-18 07:29:40.837463,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:40.868753,soffice.bin,23a4,23a8,5,15bf580,18,0,10010
2024-04-18 07:29:40.900005,Taskmgr.exe,1284,1630,1097,30112ef,0,0,1e47a7b820
2024-04-18 07:29:40.931289,SystemSettings,9e8,2330,e,40,0,0,9e8
2024-04-18 07:29:40.962532,Taskmgr.exe,1284,1630,1023,39051006,39,1,1006
2024-04-18 07:29:40.993782,explorer.exe,1588,1624,25,fffffffffffffffe,0,243fa60,30
2024-04-18 07:29:41.025099,SearchIndexer.,1524,1568,24,fffffffffffffffe,c,1,40c3bfcd20
2024-04-18 07:29:41.056212,explorer.exe,1588,164c,1042,42,10,2dde640,0
2024-04-18 07:29:41.087474,explorer.exe,1588,164c,21,fffffffffffffffa,1,2dde4b0,58
2024-04-18 07:29:41.118769,explorer.exe,1588,164c,12,2dde630,1,2dde560,0
2024-04-18 07:29:41.150038,svchost.exe,8ac,c98,121,97d3e7f378,2000000,97d3e7f398,0
2024-04-18 07:29:41.181243,svchost.exe,8ac,c98,16,2a8,7,97d3e7f2c8,4
2024-04-18 07:29:41.212670,svchost.exe,8ac,c98,121,97d3e7f2f8,20119,97d3e7f318,0
2024-04-18 07:29:41.243916,svchost.exe,8ac,c98,f,2a8,c0000034,58,59
2024-04-18 07:29:41.275182,svchost.exe,8ac,c98,121,97d3e7f378,2000000,97d3e7f398,0
2024-04-18 07:29:41.306409,svchost.exe,8ac,c98,16,2a8,7,97d3e7f2c8,4
2024-04-18 07:29:41.337666,svchost.exe,8ac,c98,121,97d3e7f2f8,20119,97d3e7f318,0
2024-04-18 07:29:41.368900,svchost.exe,8ac,c98,f,2a8,c0000034,58,59
2024-04-18 07:29:41.400126,svchost.exe,8ac,c98,121,97d3e7f4a8,2000000,97d3e7f4c8,0
2024-04-18 07:29:41.431356,dwm.exe,418,7b4,11e8,cbe3bff528,cbe3bff738,cbe3bff6f8,0
2024-04-18 07:29:41.462650,dwm.exe,418,7b4,1b1,2a4,0,cbe3bff5b0,30
2024-04-18 07:29:41.493843,dwm.exe,418,7b4,111e,4,cbe3bff540,cbe3bff478,56c879
2024-04-18 07:29:41.524772,dwm.exe,418,7b4,1131,4,cbe3bff410,cbe3bff418,cbe3bffa30
2024-04-18 07:29:41.556127,dwm.exe,418,7b4,172,45c,cbe3bff060,1,cbe3bff050
2024-04-18 07:29:41.587493,dwm.exe,418,7b4,5b,1,203e8ecdaf0,1,0
2024-04-18 07:29:41.618802,dwm.exe,418,7b4,172,45c,cbe3bff060,1,cbe3bff050
2024-04-18 07:29:41.649955,dwm.exe,418,7b4,25,fffffffffffffffe,17,cbe3bff3d0,10
2024-04-18 07:29:41.681196,dwm.exe,418,7b4,1133,cbe3bff360,cbe3bff358,cbe3bff370,cbe3bff368
2024-04-18 07:29:41.712496,dwm.exe,418,7b4,1135,cbe3bff360,cbe3bff368,cbe3bff374,203f75e3dd8
2024-04-18 07:29:41.743729,dwm.exe,418,7b4,25,fffffffffffffffe,17,cbe3bff3d0,10
2024-04-18 07:29:41.774914,dwm.exe,418,7b4,11e8,cbe3bfe948,203eda7db10,7fffbfeb0f98,cbe3bfe780
2024-04-18 07:29:41.806198,OneDrive.exe,458,2038,4,af8,0,135f9ff808,135f9ff980
2024-04-18 07:29:41.837480,soffice.bin,23a4,1bdc,36,3e,11bdeea0,40,11bde618
2024-04-18 07:29:41.868768,hyperdbg-cli.e,24d8,2514,4,1f8,0,0,1f8
2024-04-18 07:29:41.900007,soffice.bin,23a4,1bdc,36,8,11bded60,180,11bde288
2024-04-18 07:29:41.930947,Taskmgr.exe,1284,1630,12b3,60112ba,5a,0,60112ba
2024-04-18 07:29:41.962177,Taskmgr.exe,1284,1630,104b,30112ef,1,1,312ef
2024-04-18 07:29:41.993462,Taskmgr.exe,1284,1630,1082,30112ef,3f050ff2,0,0
2024-04-18 07:29:42.025017,Taskmgr.exe,1284,1630,1082,30112ef,3f050ff2,0,1
2024-04-18 07:29:42.055935,Taskmgr.exe,1284,1630,1023,3f050ff2,3f,1,ff2
2024-04-18 07:29:42.087213,Taskmgr.exe,1284,1630,102b,60112ba,18040c62,1,1a5be9f6370
2024-04-18 07:29:42.118736,Taskmgr.exe,1284,1630,103b,60112ba,1e47a7eb60,382e,6
2024-04-18 07:29:42.149967,Taskmgr.exe,1284,1630,1071,60112ba,60,1a5be9f1a0c,1a5be8b2ff0
2024-04-18 07:29:42.181161,Taskmgr.exe,1284,1630,1023,7f050f5a,7f,1,f5a
2024-04-18 07:29:42.212476,Taskmgr.exe,1284,1630,104b,30112ef,1,1,312ef
2024-04-18 07:29:42.243640,Taskmgr.exe,1284,1630,1082,30112ef,ffffffff85051287,0,0
2024-04-18 07:29:42.274918,Taskmgr.exe,1284,1630,1082,30112ef,ffffffff85051287,0,1
2024-04-18 07:29:42.306086,Taskmgr.exe,1284,1630,1023,ffffffff85051287,85,1,1287
2024-04-18 07:29:42.337332,Taskmgr.exe,1284,1630,1097,30112ef,0,0,1e47a7e620
2024-04-18 07:29:42.368468,Taskmgr.exe,1284,1630,100b,20112f0,ffffffffe405127c,38d0,2
2024-04-18 07:29:42.399758,Taskmgr.exe,1284,1630,1031,20112f0,0,0,3c
2024-04-18 07:29:42.430954,Taskmgr.exe,1284,1630,1031,60112ba,0,0,3c
2024-04-18 07:29:42.462279,Taskmgr.exe,1284,1630,1071,60112ba,60,1a5be9f1a0c,1a5be8b0d90
2024-04-18 07:29:42.493551,Taskmgr.exe,1284,1630,1023,ffffffffe405127c,e4,1,127c
2024-04-18 07:29:42.524640,soffice.bin,23a4,1bdc,36,8,11bded60,180,11bde288
2024-04-18 07:29:42.555871,soffice.bin,23a4,1b8c,d0004,7a8,0,174af6e8,766a144c
2024-04-18 07:29:42.587190,hyperdbg-cli.e,24d8,2514,34,0,7c066ffc30,7c06148000,100
2024-04-18 07:29:42.618621,NisSrv.exe,888,2068,171,114,1,0,ffff0000
2024-04-18 07:29:42.650051,NisSrv.exe,888,2068,7,36c,0,0,261cf923248
2024-04-18 07:29:42.681104,soffice.bin,23a4,1bdc,60034,0,152cf87c,206,77292efc
2024-04-18 07:29:42.712221,NisSrv.exe,888,2068,1d5,374,261cf9648f0,10,dda80ff9a8
2024-04-18 07:29:42.743423,NisSrv.exe,888,1e08,171,114,1,0,ffff0000
2024-04-18 07:29:42.774732,NisSrv.exe,888,1e08,1d5,114,261cf92ce80,10,dda7f7fac8
2024-04-18 07:29:42.806068,NisSrv.exe,888,1de8,1d5,114,261cf90d070,10,dda7a7f978
2024-04-18 07:29:42.837017,soffice.bin,23a4,23a8,36,2c,15be7cc,ac,0
2024-04-18 07:29:42.868279,soffice.bin,23a4,23a8,17,834,31de08,2,15be938
2024-04-18 07:29:42.899494,soffice.bin,23a4,23a8,3000f,834,772a8a30,200206,77292cec
2024-04-18 07:29:42.930749,Taskmgr.exe,1284,1630,1097,30112ef,0,0,1e47a7e590
2024-04-18 07:29:42.961906,Taskmgr.exe,1284,1630,100b,20112f0,fffffffffa050f59,38d0,2
2024-04-18 07:29:42.993165,Taskmgr.exe,1284,1630,1031,20112f0,0,0,3c
2024-04-18 07:29:43.024747,Taskmgr.exe,1284,1630,1031,50112e4,0,0,3c
2024-04-18 07:29:43.055907,Taskmgr.exe,1284,1630,1071,50112e4,60,1a5be9f1a0c,1a5be8b2ff0
2024-04-18 07:29:43.087155,Taskmgr.exe,1284,1630,1023,fffffffffa050f59,fa,1,f59
2024-04-18 07:29:43.118300,Taskmgr.exe,1284,1630,104b,30112ef,1,1,312ef
2024-04-18 07:29:43.149397,Taskmgr.exe,1284,1630,1082,30112ef,3105102b,0,0
2024-04-18 07:29:43.180795,Taskmgr.exe,1284,1630,1082,30112ef,3105102b,0,1
2024-04-18 07:29:43.212244,Taskmgr.exe,1284,1630,1023,3105102b,31,1,102b
2024-04-18 07:29:43.243459,soffice.bin,23a4,1bdc,60034,0,152cf87c,206,77292efc
2024-04-18 07:29:43.274751,NisSrv.exe,888,2068,171,114,1,0,ffff0000
2024-04-18 07:29:43.305834,NisSrv.exe,888,2068,7,36c,0,0,261cf956458
2024-04-18 07:29:43.337038,NisSrv.exe,888,2068,1d5,374,261cf9648f0,10,dda80ff9a8
2024-04-18 07:29:43.368275,NisSrv.exe,888,1de8,171,114,1,0,ffff0000
2024-04-18 07:29:43.399528,NisSrv.exe,888,1de8,1d5,114,261cf90d070,10,dda7a7f978
