2024-04-18 08:26:56.650650,conhost.exe,1f9c,c90,1023,ffffffffb40510e8,b4,1,10e8
2024-04-18 08:26:56.678489,hyperdbg-cli.e,1bd4,91c,8,54,0,0,0
2024-04-18 08:26:56.709744,NisSrv.exe,888,18d4,f,3fc,ffffffffffffffff,0,0
2024-04-18 08:26:56.741169,NisSrv.exe,888,18d4,5b,1,dda7aff3e0,1,0
2024-04-18 08:26:56.772431,conhost.exe,1f9c,c90,1023,ffffffffcf010890,2d69e5809a0,890,890
2024-04-18 08:26:56.803828,conhost.exe,1f9c,2730,7,4,0,0,0
2024-04-18 08:26:56.834932,NisSrv.exe,888,18d4,20,3f8,0,dda7aff088,dda7aff4f9
2024-04-18 08:26:56.866167,conhost.exe,1f9c,c90,14ac,1d0107a3,2d69e580580,7a3,2d69e7f0000
2024-04-18 08:26:56.897250,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:26:56.928537,conhost.exe,1f9c,c90,1469,d02b8,0,e4685fef98,e4685ff0a0
2024-04-18 08:26:56.959829,dwm.exe,418,7cc,90,470,b70,468,40001402
2024-04-18 08:26:56.990917,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:26:57.022185,conhost.exe,1f9c,c90,1469,d02b8,0,e4685fef98,e4685ff0a0
2024-04-18 08:26:57.053652,dwm.exe,418,7cc,90,470,b70,468,40001402
2024-04-18 08:26:57.084739,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 08:26:57.116064,dwm.exe,418,7cc,172,b70,cbe3cff500,1,cbe3cff4f0
2024-04-18 08:26:57.147387,dwm.exe,418,7cc,1335,2,0,0,1
2024-04-18 08:26:57.178550,dwm.exe,418,7cc,5,cbe3cff3f0,18,0,0
2024-04-18 08:26:57.209602,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:26:57.240983,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 08:26:57.272270,dwm.exe,418,7cc,5b,1,203e8ee1b60,1,0
2024-04-18 08:26:57.303446,dwm.exe,418,7b4,25,fffffffffffffffe,17,cbe3bff900,10
2024-04-18 08:26:57.334817,dwm.exe,418,7b4,172,45c,cbe3bff060,1,cbe3bff050
2024-04-18 08:26:57.366040,dwm.exe,418,7b4,1b1,2b0,0,cbe3bfe9a0,30
2024-04-18 08:26:57.397261,dwm.exe,418,7b4,e,34c,0,0,14
2024-04-18 08:26:57.428508,dwm.exe,418,7b4,172,45c,cbe3bff060,1,cbe3bff050
2024-04-18 08:26:57.459705,dwm.exe,418,7cc,172,b70,cbe3cff500,1,cbe3cff4f0
2024-04-18 08:26:57.491041,dwm.exe,418,7b4,5b,1,203e8ecdaf0,1,0
2024-04-18 08:26:57.522601,dwm.exe,418,7b4,172,45c,cbe3bff060,1,cbe3bff050
2024-04-18 08:26:57.553195,dwm.exe,418,7b4,25,fffffffffffffffe,17,cbe3bff3d0,10
2024-04-18 08:26:57.584413,conhost.exe,1f9c,c90,146c,d02b8,0,e4685fe668,e4685fe770
2024-04-18 08:26:57.615752,dwm.exe,418,6d0,172,918,cbe37af0d0,1,cbe37af0c0
2024-04-18 08:26:57.647037,dwm.exe,418,6d0,17,c10,cbe37af1f8,2,cbe37af0b0
2024-04-18 08:26:57.678119,dwm.exe,418,7cc,5b,1,203e8ee1b60,1,0
