2024-05-26 19:26:10.681363,hyperdbg-cli.e,1338,1430,8,58,0,0,0
2024-05-26 19:26:10.698712,powershell.exe,110c,1bac,25,fffffffffffffffe,2a,cb14eccd34,4
2024-05-26 19:26:10.735118,powershell.exe,110c,1bac,15c,888,7,cb14ecd768,0
2024-05-26 19:26:10.766283,powershell.exe,110c,213c,34,0,cb144bf0e0,cb13b5c000,0
2024-05-26 19:26:10.797557,powershell.exe,110c,57c,34,0,cb1413f990,cb13b4e000,0
2024-05-26 19:26:10.828789,powershell.exe,110c,1bac,30,ffffffffffffffff,2,200,cb14ecadc8
2024-05-26 19:26:10.860037,powershell.exe,110c,1bac,16,8dc,7,cb14eca7a8,4
2024-05-26 19:26:10.891284,powershell.exe,110c,1bac,121,cb14eca7d8,20019,cb14eca7f8,0
2024-05-26 19:26:10.922502,lsass.exe,314,394,d,fffffffffffffffe,5,cc9a47eee8,8
2024-05-26 19:26:10.953755,powershell.exe,110c,b48,34,0,cb140bf480,cb13b4c000,0
2024-05-26 19:26:10.985104,powershell.exe,110c,57c,34,0,cb1413f990,cb13b4e000,0
2024-05-26 19:26:11.016269,svchost.exe,1f08,218c,18,1f0,679377ce00,0,679377cf68
2024-05-26 19:26:11.047512,conhost.exe,1c24,b64,15b,fffffffffffffffa,7ffde512d420,2,5d42f7df40
2024-05-26 19:26:11.078756,csrss.exe,2c0,2d0,21,ae0,19,22d98cd6c40,1c
2024-05-26 19:26:11.110429,explorer.exe,16a4,18e0,121,a2dbef8,20019,a2dbf90,0
2024-05-26 19:26:11.141224,csrss.exe,2c0,370,3c,ffffffffffffffff,2e4,ffffffffffffffff,580d54eba0
2024-05-26 19:26:11.172499,powershell.exe,123c,408,28,17c,ffffffffffffffff,1cd9280d9b0,0
2024-05-26 19:26:11.203777,powershell.exe,123c,408,4,27c,0,7ce3bfa138,7ce3bfa3f0
2024-05-26 19:26:11.235028,powershell.exe,123c,408,24,fffffffffffffffe,c,1,7ce3bfbd40
2024-05-26 19:26:11.266251,powershell.exe,123c,c10,34,0,7ce443f7b0,7ce3de9000,0
2024-05-26 19:26:11.297499,powershell.exe,123c,408,3f,488,7ffde517c4e0,7ce3bfd050,8
2024-05-26 19:26:11.328992,powershell.exe,123c,408,17,730,7ce3bfaa00,2,7ce3bfa8c0
2024-05-26 19:26:11.360016,powershell.exe,123c,bdc,34,0,7ce43bf590,7ce3de7000,0
2024-05-26 19:26:11.391279,powershell.exe,123c,408,4,27c,0,7ce3bfca18,0
2024-05-26 19:26:11.422487,powershell.exe,123c,bdc,34,0,7ce43bf590,7ce3de7000,0
2024-05-26 19:26:11.453732,powershell.exe,123c,1cc8,34,0,7ce46bf330,7ce3df3000,0
2024-05-26 19:26:11.484954,powershell.exe,123c,1cc8,34,0,7ce46bf330,7ce3df3000,0
2024-05-26 19:26:11.516310,explorer.exe,16a4,17f8,100b,ffffffffdf010b72,50681,2256,df
2024-05-26 19:26:11.547531,powershell.exe,123c,1ec4,f,8a4,ffffffffffffffff,0,0
2024-05-26 19:26:11.578678,powershell.exe,123c,1ec4,f,8a0,ffffffffffffffff,0,0
2024-05-26 19:26:11.610075,powershell.exe,123c,1188,34,0,7ce433f450,7ce3de5000,0
2024-05-26 19:26:11.641184,powershell.exe,123c,9ec,34,0,7ce473f6c0,7ce3df5000,0
2024-05-26 19:26:11.672423,powershell.exe,123c,1ec4,24,fffffffffffffffe,c,1,7ce51caf60
2024-05-26 19:26:11.703712,powershell.exe,123c,1ec4,16,4b8,7,7ce51ca998,4
2024-05-26 19:26:11.735028,powershell.exe,123c,1ec4,121,7ce51ca9c8,2000000,7ce51ca9e8,0
2024-05-26 19:26:11.766160,powershell.exe,123c,1ec4,18,ffffffffffffffff,7ce51cba20,0,7ce51cba28
2024-05-26 19:26:11.797401,powershell.exe,123c,1ec4,18,ffffffffffffffff,7ce51cb9e0,0,7ce51cb9e8
2024-05-26 19:26:11.828697,powershell.exe,123c,1ec4,18,ffffffffffffffff,7ce51cbc00,0,7ce51cbc08
2024-05-26 19:26:11.859894,powershell.exe,123c,1ec4,18,ffffffffffffffff,7ce51cb080,0,7ce51cb070
2024-05-26 19:26:11.891102,powershell.exe,123c,bdc,34,0,7ce43bf590,7ce3de7000,0
2024-05-26 19:26:11.922372,powershell.exe,123c,1ec4,f,8a0,ffffffffffffffff,0,0
2024-05-26 19:26:11.953743,powershell.exe,123c,1188,34,0,7ce433f450,7ce3de5000,0
2024-05-26 19:26:11.984920,powershell.exe,123c,9ec,34,0,7ce473f6c0,7ce3df5000,0
2024-05-26 19:26:12.016105,powershell.exe,123c,1ec4,f,820,ffffffffffffffff,0,0
2024-05-26 19:26:12.047549,powershell.exe,123c,1ec4,21,820,1,7ce51cb1d8,100
2024-05-26 19:26:12.078620,powershell.exe,123c,bdc,34,0,7ce43bf590,7ce3de7000,0
2024-05-26 19:26:12.109857,powershell.exe,123c,1ec4,f,88c,ffffffffffffffff,0,0
2024-05-26 19:26:12.141079,powershell.exe,123c,1ec4,16,814,7,7ce51cb2d8,4
2024-05-26 19:26:12.172323,powershell.exe,123c,1ec4,18,ffffffffffffffff,7ce51cbb50,0,7ce51cbb58
2024-05-26 19:26:12.203567,powershell.exe,123c,1ec4,18,ffffffffffffffff,7ce51cb8b0,0,7ce51cb8b8
2024-05-26 19:26:12.234927,powershell.exe,123c,1ec4,18,ffffffffffffffff,7ce51ca760,0,7ce51ca768
2024-05-26 19:26:12.266043,powershell.exe,123c,1ec4,18,ffffffffffffffff,7ce51ca8e0,0,7ce51ca8e8
2024-05-26 19:26:12.297360,powershell.exe,123c,1ec4,18,ffffffffffffffff,7ce51cc910,0,7ce51cc918
2024-05-26 19:26:12.328577,powershell.exe,123c,bdc,34,0,7ce43bf590,7ce3de7000,0
2024-05-26 19:26:12.359759,powershell.exe,123c,dac,121,7ce417c018,2000000,7ce417c090,0
2024-05-26 19:26:12.390984,powershell.exe,123c,dac,f,888,ffffffffffffffff,0,0
2024-05-26 19:26:12.422264,csrss.exe,260,270,21,a28,9,5a1c13ea48,4
2024-05-26 19:26:12.453473,WmiPrvSE.exe,664,7c8,19,ffffffffffffffff,25,a9bf5cde00,40
2024-05-26 19:26:12.484755,WmiPrvSE.exe,664,f80,16,28c,7,a9bfb7d978,4
2024-05-26 19:26:12.515994,WmiPrvSE.exe,664,f80,18,ffffffffffffffff,a9bfb7d350,0,a9bfb7d3f8
2024-05-26 19:26:12.547321,WmiPrvSE.exe,664,f80,1ce,ffffffffffffffff,27143960000,0,27144134500
2024-05-26 19:26:12.578473,WmiPrvSE.exe,664,f80,121,a9bfb7d158,1,a9bfb7d178,0
2024-05-26 19:26:12.609717,MsMpEng.exe,e58,16c4,23,a2c,7ffde27e2000,0,46597fda58
2024-05-26 19:26:12.641020,MsMpEng.exe,e58,16c4,23,b18,7ffde1e61000,2,46597fd6d0
2024-05-26 19:26:12.672146,MsMpEng.exe,e58,16c4,19,ffffffffffffffff,17,46597fd900,24
2024-05-26 19:26:12.703355,MsMpEng.exe,e58,16c4,23,ad0,72f4300000,0,46597fda58
2024-05-26 19:26:12.734665,MsMpEng.exe,e58,16c4,23,b54,21881df8000,0,46597fda58
2024-05-26 19:26:12.765887,MsMpEng.exe,e58,16c4,23,b6c,21078822000,0,46597fda58
2024-05-26 19:26:12.797131,MsMpEng.exe,e58,16c4,23,b94,23d33d26000,0,46597fda58
2024-05-26 19:26:12.828356,MsMpEng.exe,e58,16c4,23,bac,7ff5cfde6000,0,46597fda58
2024-05-26 19:26:12.859579,MsMpEng.exe,e58,16c4,23,bc0,7ffde4631000,0,46597fda58
2024-05-26 19:26:12.890809,MsMpEng.exe,e58,16c4,23,be8,7ffdc4ed5000,0,46597fda58
2024-05-26 19:26:12.922077,MsMpEng.exe,e58,16c4,23,ac0,2b05912a000,0,46597fda58
2024-05-26 19:26:12.953319,MsMpEng.exe,e58,16c4,23,84c,4a6000234000,0,46597fda58
2024-05-26 19:26:12.984549,MsMpEng.exe,e58,16c4,23,7ec,7ff53aa52000,0,46597fda58
2024-05-26 19:26:13.015804,MsMpEng.exe,e58,16c4,23,83c,1cbfa2af000,0,46597fda58
2024-05-26 19:26:13.047037,MsMpEng.exe,e58,16c4,23,7c4,1f87f941000,0,46597fda58
2024-05-26 19:26:13.078276,MsMpEng.exe,e58,16c4,23,820,7ffddc8e0000,0,46597fda58
2024-05-26 19:26:13.109521,MsMpEng.exe,e58,16c4,23,784,7ffde4754000,2,46597fd6d0
2024-05-26 19:26:13.140752,MsMpEng.exe,e58,16c4,23,770,1aa689a0000,0,46597fda58
2024-05-26 19:26:13.172031,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597fd11c,4
2024-05-26 19:26:13.203292,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:13.234536,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:13.265855,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:13.297036,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:13.328276,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:13.359561,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:13.390918,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:13.422089,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:13.453451,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:13.484602,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:13.515823,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:13.547052,MsMpEng.exe,e58,16c4,3f,864,20d83406700,46597fcfc0,88
2024-05-26 19:26:13.578337,MsMpEng.exe,e58,16c4,3f,864,20d83407370,46597fcfc0,88
2024-05-26 19:26:13.609556,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:13.640841,MsMpEng.exe,e58,16c4,5b,1,46597fa130,1,0
2024-05-26 19:26:13.672068,MsMpEng.exe,e58,16c4,20,6fc,0,100,60
2024-05-26 19:26:13.703325,MsMpEng.exe,e58,16c4,5b,1,46597f9450,1,0
2024-05-26 19:26:13.734556,MsMpEng.exe,e58,16c4,20,6fc,0,100,60
2024-05-26 19:26:13.765801,MsMpEng.exe,e58,16c4,11,864,46597fcf30,46597fcf80,18
2024-05-26 19:26:13.797010,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:13.828260,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:13.859548,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:13.890747,MsMpEng.exe,e58,16c4,18,ffffffffffffffff,46597f8fa0,0,46597f9048
2024-05-26 19:26:13.922023,services.exe,300,23f4,d,fffffffffffffffe,2c,1c2ef1e4a78,8
2024-05-26 19:26:13.953250,services.exe,300,23f4,0,1c2eee2b320,af0,4,7ff67bf57300
2024-05-26 19:26:13.984483,services.exe,300,23f4,0,1c2eee715d0,aec,4,7ff67bf57300
2024-05-26 19:26:14.015758,services.exe,300,23f4,0,1c2eee28a00,af0,4,7ff67bf57300
2024-05-26 19:26:14.046970,services.exe,300,23f4,0,1c2eee3f7e0,994,4,7ff67bf57300
2024-05-26 19:26:14.078265,services.exe,300,23f4,0,1c2eee4b1b0,994,4,7ff67bf57300
2024-05-26 19:26:14.109471,services.exe,300,23f4,0,1c2eee4c4f0,994,4,7ff67bf57300
2024-05-26 19:26:14.140707,MsMpEng.exe,e58,16c4,12e,46597f8b38,80000000,46597f8ab0,0
2024-05-26 19:26:14.171996,MsMpEng.exe,e58,16c4,3f,864,7ff777eeb000,1aaa6daa7a0,1000
2024-05-26 19:26:14.203213,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:14.234393,MsMpEng.exe,e58,16c4,6,758,0,0,0
2024-05-26 19:26:14.265711,MsMpEng.exe,e58,16c4,11,758,46597f89e8,46597f89e0,8
2024-05-26 19:26:14.296939,MsMpEng.exe,e58,16c4,12e,46597f8b38,80000000,46597f8ab0,0
2024-05-26 19:26:14.328197,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f991c,4
2024-05-26 19:26:14.359446,MsMpEng.exe,e58,16c4,25,fffffffffffffffe,19,46597f83fc,4
2024-05-26 19:26:14.390671,MsMpEng.exe,e58,16c4,f,75c,ffffffffffffffff,0,0
2024-05-26 19:26:14.421855,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:14.453131,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:14.484392,MsMpEng.exe,e58,16c4,11,864,46597fd028,46597fd040,68
2024-05-26 19:26:14.515636,MsMpEng.exe,e58,16c4,39,864,0,0,0
2024-05-26 19:26:14.546856,MsMpEng.exe,e58,16c4,5b,1,46597fa1d0,1,0
2024-05-26 19:26:14.578146,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f9bfc,4
2024-05-26 19:26:14.609380,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:14.640574,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:14.672011,MOM.exe,2198,226c,34,1,60c3afefe0,0,60c2e44290
2024-05-26 19:26:14.703089,conhost.exe,1c24,1dd0,4,1a8,0,0,0
2024-05-26 19:26:14.734310,MsMpEng.exe,e58,16c4,3f,858,c10000,1aaa6d9f7a0,1000
2024-05-26 19:26:14.765750,MsMpEng.exe,e58,16c4,147,46597fcfb0,46597fcfe0,e,0
2024-05-26 19:26:14.796888,MsMpEng.exe,e58,16c4,55,46597fcf60,100080,46597fcfc0,46597fcf68
2024-05-26 19:26:14.828088,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:14.859376,MsMpEng.exe,e58,16c4,3f,858,21eb6c0df10,46597fcfc0,88
2024-05-26 19:26:14.890575,MsMpEng.exe,e58,16c4,20,6fc,0,100,60
2024-05-26 19:26:14.921822,MsMpEng.exe,e58,16c4,5b,3,46597f8da0,1,0
2024-05-26 19:26:14.953115,MsMpEng.exe,e58,16c4,12e,46597f8b38,80000000,46597f8ab0,0
