2024-05-20 21:28:08.100768,conhost.exe,1308,2334,1023,6010847,2087f5a09a0,847,847
2024-05-20 21:28:08.100949,hyperdbg-cli.e,1e24,1da4,8,54,0,0,0
2024-05-20 21:28:08.138066,conhost.exe,1308,2334,14ac,5001085f,2087f5a0580,85f,2087f860000
2024-05-20 21:28:08.169358,conhost.exe,1308,938,7,4,0,0,0
2024-05-20 21:28:08.200785,conhost.exe,1308,2334,1030,9034c,0,946297f600,0
2024-05-20 21:28:08.232106,conhost.exe,1308,938,1d2,7ff6c4a334e0,0,0,0
2024-05-20 21:28:08.263334,conhost.exe,1308,2334,104e,9034c,0,20800041dd4,946297f510
2024-05-20 21:28:08.294599,hyperdbg-cli.e,1e24,27dc,3c,ffffffffffffffff,fffffffffffffffe,ffffffffffffffff,18699c1c900
2024-05-20 21:28:08.325822,conhost.exe,1308,2334,100e,9034c,c01b,0,946297f230
2024-05-20 21:28:08.357100,conhost.exe,1308,2334,1090,9034c,fffffffa,946297f3d8,946297f3b0
2024-05-20 21:28:08.388307,hyperdbg-cli.e,1e24,27dc,48,12afff970,1f0003,0,0
2024-05-20 21:28:08.419585,conhost.exe,1308,2334,100e,9034c,c01b,0,946297f1e0
2024-05-20 21:28:08.450842,hyperdbg-cli.e,1e24,27dc,7,5a4,5b0,0,0
2024-05-20 21:28:08.482097,conhost.exe,1308,2334,1063,9034c,0,946297f308,946297f460
2024-05-20 21:28:08.513346,conhost.exe,1308,2334,100e,9034c,c01b,0,946297f1e0
2024-05-20 21:28:08.544628,hyperdbg-cli.e,1e24,27dc,34,0,12afffb10,12aa56000,100
2024-05-20 21:28:08.575880,conhost.exe,1308,2334,14ac,5001085f,2087f5a09a0,85f,2087f860000
2024-05-20 21:28:08.607222,conhost.exe,1308,2334,70,938,94629ff272,94629ff270,94629ff270
2024-05-20 21:28:08.638435,conhost.exe,1308,2334,1006,946297fab0,0,0,0
2024-05-20 21:28:08.669750,conhost.exe,1308,938,e,19c,0,94629fe8d0,2087f432f90
2024-05-20 21:28:08.700958,conhost.exe,1308,938,e,19c,0,94629fe8d0,2087f432f90
2024-05-20 21:28:08.732182,conhost.exe,1308,938,e,19c,0,ffffffff,94629fe6f0
2024-05-20 21:28:08.763452,conhost.exe,1308,938,100f,9034c,404,2087f42da20,0
2024-05-20 21:28:08.794808,msedge.exe,454,180c,4,380,0,4ad5bff6c8,7ffee000
2024-05-20 21:28:08.825966,OneDrive.exe,1d24,203c,4,b40,0,7c5a7ffc08,7c5a7ffd80
