2024-05-17 14:44:43.352661,hyperdbg-cli.e,1738,27dc,8,54,0,0,0
2024-05-17 14:44:43.352844,SearchFilterHo,9fc,160c,e,450,0,157fcfd7a8,157fcfd9b0
2024-05-17 14:44:43.380926,SearchIndexer.,1634,183c,e,df0,0,0,0
2024-05-17 14:44:43.412111,SearchProtocol,1930,27a8,d,fffffffffffffffe,2c,15a460523f8,8
2024-05-17 14:44:43.443337,SearchProtocol,1930,27a8,d,fffffffffffffffe,2c,52f5d7f120,8
2024-05-17 14:44:43.474546,SearchProtocol,1930,27a8,1a1,14,9,52f5d7f50c,4
2024-05-17 14:44:43.505809,SearchProtocol,1930,27a8,1d5,14,15a45fd9180,10,52f5d7f648
2024-05-17 14:44:43.537053,SearchProtocol,1930,27a8,1d5,14,15a45fd9180,10,52f5d7f648
2024-05-17 14:44:43.568214,explorer.exe,2704,720,23,ffffffffffffffff,7ff8ae130000,6,9ddb80
2024-05-17 14:44:43.599426,SearchFilterHo,9fc,160c,8c,260,20000,1fbb8e32ae0,1fbb95c48a8
2024-05-17 14:44:43.630701,SearchProtocol,1930,27a8,1a1,14,9,52f5d7f308,4
2024-05-17 14:44:43.661929,SearchFilterHo,9fc,160c,8c,260,20000,1fbb8e32ae0,1fbb95c48a8
2024-05-17 14:44:43.693215,SearchProtocol,1930,27a8,d,fffffffffffffffe,2c,15a460523f8,8
2024-05-17 14:44:43.724399,svchost.exe,b94,1684,d,fffffffffffffffe,5,2253b7d118,8
2024-05-17 14:44:43.755649,svchost.exe,b94,1684,1a1,1c,9,2253b7f768,4
2024-05-17 14:44:43.786865,svchost.exe,b94,1684,1a1,1c,9,2253b7f768,4
2024-05-17 14:44:43.818149,SearchProtocol,1930,27a8,1d5,14,15a45fd9180,10,52f5d7f648
2024-05-17 14:44:43.849400,SearchFilterHo,9fc,160c,8c,260,20000,1fbb8e32ae0,1fbb95c48a8
2024-05-17 14:44:43.880654,explorer.exe,2574,a74,16,514,7,2c9e218,4
2024-05-17 14:44:43.911891,SearchFilterHo,9fc,160c,8c,260,20000,1fbb8e32ae0,1fbb95c48a8
2024-05-17 14:44:43.943161,SearchProtocol,1930,27a8,1a1,14,9,52f5d7f50c,4
2024-05-17 14:44:43.974372,fontdrvhost.ex,54,20c,1109,0,575df7f900,9,13
2024-05-17 14:44:44.005750,conhost.exe,ec4,2478,100e,70478,c01b,676e27ece8,676e27eda1
2024-05-17 14:44:44.036904,ctfmon.exe,129c,1378,f,574,ffffffffffffffff,0,0
2024-05-17 14:44:44.068090,timeout.exe,f68,215c,12,101b8cdb18,20019,101b8cdb30,1
2024-05-17 14:44:44.100233,SearchProtocol,1930,27a8,d,fffffffffffffffe,2c,15a460523f8,8
2024-05-17 14:44:44.130616,SearchProtocol,1930,27a8,d,fffffffffffffffe,2c,52f5d7f120,8
2024-05-17 14:44:44.161942,SearchProtocol,1930,27a8,1d5,14,15a45fd9180,10,52f5d7f648
2024-05-17 14:44:44.193222,SearchProtocol,1930,27a8,1a1,14,9,52f5d7f50c,4
2024-05-17 14:44:44.224344,SearchProtocol,1930,27a8,1a1,14,9,52f5d7f308,4
2024-05-17 14:44:44.255625,SearchProtocol,1930,27a8,1d5,14,15a45fd9180,10,52f5d7f648
2024-05-17 14:44:44.286790,SearchProtocol,1930,27a8,1a1,14,9,52f5d7f50c,4
2024-05-17 14:44:44.318072,dwm.exe,440,778,111e,4,c60919f3d0,c60919f308,28afb
2024-05-17 14:44:44.349290,msedge.exe,11d4,928,4,ac8,0,bc391ff868,7ffe2000
2024-05-17 14:44:44.380604,payload_PyCryp,2258,41c,1e,ffffffffffffffff,a37b5eb278,a37b5eb270,4000
2024-05-17 14:44:44.411866,payload_PyCryp,2258,41c,8,10c,0,0,0
2024-05-17 14:44:44.443050,payload_PyCryp,2258,41c,8,10c,0,0,0
2024-05-17 14:44:44.474293,SearchProtocol,1930,27a8,d,fffffffffffffffe,2c,52f5d7f120,8
2024-05-17 14:44:44.505533,payload_PyCryp,2258,41c,8,10c,0,0,0
2024-05-17 14:44:44.536775,payload_PyCryp,2258,41c,8,10c,0,0,0
2024-05-17 14:44:44.568017,SearchProtocol,1930,27a8,1a1,14,9,52f5d7f308,4
2024-05-17 14:44:44.599233,payload_PyCryp,2258,41c,8,10c,0,0,0
2024-05-17 14:44:44.630463,explorer.exe,16a4,27e4,12,cbcd410,9,cbcd420,0
2024-05-17 14:44:44.661779,payload_PyCryp,2258,41c,8,10c,0,0,0
2024-05-17 14:44:44.692996,SearchProtocol,1930,192c,23,ffffffffffffffff,15a46b40000,3,52f5c79518
2024-05-17 14:44:44.724233,payload_PyCryp,2258,41c,8,10c,0,0,0
2024-05-17 14:44:44.755478,payload_PyCryp,2258,41c,6,110,0,0,0
2024-05-17 14:44:44.786744,SearchProtocol,1930,192c,121,52f5c78b48,1,52f5c78b68,0
2024-05-17 14:44:44.817983,payload_PyCryp,2258,41c,6,110,0,0,0
2024-05-17 14:44:44.849240,SearchProtocol,1930,192c,1486,2,52f5c7a3c0,ea60,1cff
2024-05-17 14:44:44.880477,SearchProtocol,1930,27a8,1a1,14,9,52f5d7f308,4
2024-05-17 14:44:44.911700,payload_PyCryp,2258,41c,55,a37b5e8340,40100080,a37b5e83a0,a37b5e8348
2024-05-17 14:44:44.942936,SearchFilterHo,9fc,160c,f,300,ffffffffffffffff,0,0
2024-05-17 14:44:44.974232,SearchProtocol,1930,27a8,1d5,14,15a45fd9180,10,52f5d7f648
2024-05-17 14:44:45.005427,SearchFilterHo,9fc,160c,8c,260,20000,1fbb8e2c480,1fbb95c48a8
2024-05-17 14:44:45.036673,payload_PyCryp,2258,41c,f,118,ffffffffffffffff,0,0
2024-05-17 14:44:45.067919,SearchProtocol,1930,27a8,d,fffffffffffffffe,2c,52f5d7f120,8
2024-05-17 14:44:45.099151,payload_PyCryp,2258,41c,11,10c,a37b5e6498,a37b5e64b0,68
2024-05-17 14:44:45.130394,payload_PyCryp,2258,41c,36,66,a37b5e6020,1b0,0
2024-05-17 14:44:45.161623,payload_PyCryp,2258,41c,18,ffffffffffffffff,a37b5eb2f0,0,a37b5eb2e0
2024-05-17 14:44:45.192892,payload_PyCryp,2258,41c,49,10c,a37b5e6540,a37b5e6560,8
2024-05-17 14:44:45.224207,SearchFilterHo,9fc,160c,4,254,0,157fcfbfb8,27
2024-05-17 14:44:45.255361,SearchFilterHo,9fc,160c,8c,260,20000,1fbb8e2c480,1fbb95c48a8
2024-05-17 14:44:45.286616,payload_PyCryp,2258,41c,49,10c,a37b5e6540,a37b5e6560,8
2024-05-17 14:44:45.317810,SearchProtocol,1930,27a8,1a1,14,9,52f5d7f308,4
2024-05-17 14:44:45.349073,SearchProtocol,1930,27a8,1d5,14,15a45fd9180,10,52f5d7f648
2024-05-17 14:44:45.380261,SearchProtocol,1930,27a8,d,fffffffffffffffe,2c,52f5d7f120,8
2024-05-17 14:44:45.411546,SearchFilterHo,9fc,160c,4,254,0,157fcfbfb8,1b
2024-05-17 14:44:45.442812,payload_PyCryp,2258,41c,36,66,a37b5e6020,1b0,0
2024-05-17 14:44:45.474042,SearchProtocol,1930,27a8,1d5,14,15a45fd9180,10,52f5d7f648
2024-05-17 14:44:45.505312,payload_PyCryp,2258,41c,49,10c,a37b5e6540,a37b5e6560,8
2024-05-17 14:44:45.536533,payload_PyCryp,2258,41c,18,ffffffffffffffff,a37b5eb380,0,a37b5eb370
2024-05-17 14:44:45.567779,SearchProtocol,1930,27a8,d,fffffffffffffffe,2c,15a460523f8,8
2024-05-17 14:44:45.599016,SearchProtocol,1930,27a8,1a1,14,9,52f5d7f308,4
2024-05-17 14:44:45.630259,SearchFilterHo,9fc,160c,4,254,0,157fcfbdb8,34
2024-05-17 14:44:45.661527,SearchFilterHo,9fc,160c,8c,260,0,1fbb8e29150,157fcfb450
2024-05-17 14:44:45.692744,SearchProtocol,1930,27a8,1d5,14,15a45fd9180,10,52f5d7f648
2024-05-17 14:44:45.724019,SearchProtocol,1930,27a8,d,fffffffffffffffe,2c,52f5d7f120,8
