2024-05-17 16:23:48.795242,hyperdbg-cli.e,2490,fb8,8,54,0,0,0
2024-05-17 16:23:48.795410,hyperdbg-cli.e,2490,244c,3c,ffffffffffffffff,fffffffffffffffe,ffffffffffffffff,1d08448a710
2024-05-17 16:23:48.838617,hyperdbg-cli.e,2490,244c,48,2533bff7a0,1f0003,0,0
2024-05-17 16:23:48.869903,conhost.exe,d90,238c,7,4,0,0,0
2024-05-17 16:23:48.901332,hyperdbg-cli.e,2490,244c,7,570,594,0,0
2024-05-17 16:23:48.932581,conhost.exe,d90,238c,e,198,0,ffffffff,2b1ab7ea40
2024-05-17 16:23:48.963880,conhost.exe,d90,238c,100f,503cc,404,14846b6e110,0
2024-05-17 16:23:48.995120,Taskmgr.exe,1878,1094,1021,10282,73,0,83d572f780
2024-05-17 16:23:49.026073,Taskmgr.exe,1878,1094,103f,ffffffff8e011302,7,83d572d118,0
2024-05-17 16:23:49.057420,Taskmgr.exe,1878,1094,1038,ffffffff8e011302,0,0,1004
2024-05-17 16:23:49.088585,Taskmgr.exe,1878,1094,102e,ffffffff8e011302,f304143c,5,21afea10b40
2024-05-17 16:23:49.120025,Taskmgr.exe,1878,1094,102b,ffffffff8e011302,a040905,1,d8
2024-05-17 16:23:49.151248,Taskmgr.exe,1878,1094,1020,ffffffff8e011302,1d,c8,2d
2024-05-17 16:23:49.182486,Taskmgr.exe,1878,1094,103f,ffffffff8e011302,7,83d572d660,8e
2024-05-17 16:23:49.213775,Taskmgr.exe,1878,1094,105f,ffffffff8e011302,1d,c8,2027e
2024-05-17 16:23:49.244974,Taskmgr.exe,1878,1094,102e,ffffffff8e011302,a040905,5,21afea10bd0
2024-05-17 16:23:49.276229,Taskmgr.exe,1878,1094,1018,0,7fdf,1388,7ff9fb69bfc0
2024-05-17 16:23:49.307479,Taskmgr.exe,1878,1094,102b,ffffffff8e011302,f404143c,1,0
2024-05-17 16:23:49.338685,Taskmgr.exe,1878,1094,1020,ffffffff8e011302,33,c8,59
2024-05-17 16:23:49.369871,Taskmgr.exe,1878,1094,103f,ffffffff8e011302,7,83d572cfd8,0
2024-05-17 16:23:49.401200,Taskmgr.exe,1878,1094,103f,ffffffff8e011302,7,83d572d028,0
