svchost.exe,1d4,59c,8c,16c,410000,23a9db50c70,0
conhost.exe,1fd8,1f7c,100e,d027e,c01b,0,1f0d1ff510
hyperdbg-cli.e,1008,1994,8,58,0,0,0
conhost.exe,1fd8,1f7c,100e,d027e,c01b,0,1f0d1ff510
svchost.exe,1d4,59c,d,fffffffffffffffe,2c,4cd1aff0e0,8
conhost.exe,1fd8,1f7c,100e,d027e,c01b,0,1f0d1ff510
conhost.exe,1fd8,1f00,7,4,0,0,0
svchost.exe,1d4,59c,1a1,1c,9,4cd1aff4cc,4
hyperdbg-cli.e,1008,1c20,3c,ffffffffffffffff,fffffffffffffffe,ffffffffffffffff,27eee27a9a0
conhost.exe,1fd8,1f7c,100e,d027e,c01b,0,1f0d1ff510
svchost.exe,1d4,59c,1d5,1c,23a9ce77e50,10,4cd1aff608
conhost.exe,1fd8,1f00,1d2,7ff6a19734e0,0,0,0
conhost.exe,1fd8,1f7c,1061,37010b4f,60,1f0d1ff190,37
NisSrv.exe,cdc,584,7,354,0,0,1409dba7038
NisSrv.exe,cdc,584,1d5,35c,1409db6adc0,10,1e02b7fc18
NisSrv.exe,cdc,207c,171,104,1,0,ffff0000
NisSrv.exe,cdc,207c,1d5,104,1409db6b160,10,1e02d7fb58
NisSrv.exe,cdc,640,1d5,104,1409db6bfe0,10,1e02bff6e8
WMIADAP.exe,1094,1074,17,268,e4cfe8f1d8,2,e4cfe8f090
MOM.exe,2284,22b0,1486,0,0,64,10ff
OneDrive.exe,2060,21b4,4,c2c,0,9278aff668,9278aff7e0
WMIADAP.exe,1094,1074,36,2,e4cfe8f438,158,0
WMIADAP.exe,1094,1074,34,0,e4cfe8f1a0,e4d0021000,a
WMIADAP.exe,1094,1074,17,268,e4cfe8f1d8,2,e4cfe8f090
hyperdbg-cli.e,1008,1c20,7,1f4,0,0,0
OneDrive.exe,2060,21b4,4,c2c,0,9278aff668,9278aff7e0
WMIADAP.exe,1094,1074,36,2,e4cfe8f2e0,158,0
hyperdbg-cli.e,1008,1c20,4,1f4,0,0,1f4
WMIADAP.exe,1094,1074,34,0,e4cfe8f1a0,e4d0021000,a
hyperdbg-cli.e,1008,1c20,7,574,578,0,0
hyperdbg-cli.e,1008,1c20,34,0,ebdaaffaf0,ebda548000,100
NisSrv.exe,cdc,584,171,104,1,0,ffff0000
MsMpEng.exe,edc,1e10,1cd,ffffffffffffffff,94b9ffdb80,94b9ffdb88,1
conhost.exe,1fd8,1f7c,146c,d027e,0,1f0d1ff0c8,1f0d1ff1d0
dwm.exe,418,770,90,46c,b6c,468,40001402
conhost.exe,1fd8,1f7c,1469,d027e,0,1f0d1ff0c8,1f0d1ff1d0
dwm.exe,418,770,172,b6c,d7023ff5d0,1,d7023ff5c0
conhost.exe,1fd8,1f7c,5,1f0d1ffd70,18,0,1
dwm.exe,418,770,5b,1,1f230176bc0,1,0
conhost.exe,1fd8,1f7c,1007,d027e,20,d027e,2000001
conhost.exe,1fd8,1f7c,5,1f0d1ffd70,18,0,1f0d1ff891
dwm.exe,418,6e0,1254,d70227f550,7ff9e97da860,d70227f550,19da
dwm.exe,418,6e0,1254,d70227f550,7ff9e97da860,d70227f550,19da
dwm.exe,418,6e0,11e8,d70227f640,0,0,0
dwm.exe,418,6e0,1121,4,d70227f6c8,d70227f740,0
dwm.exe,418,6e0,13e,8d4,0,7ff9e97b9ef0,7ffed000
dwm.exe,418,6e0,61,26c,0,d70227f6e8,d70227f730
conhost.exe,10e4,1a60,7,4,0,0,0
conhost.exe,10e4,1a60,e,198,0,3963fea50,106ffccd970
conhost.exe,10e4,1a60,e,198,0,3963fea50,106ffccd970
conhost.exe,10e4,1a60,e,198,0,3963fea50,106ffccd970
conhost.exe,10e4,1a60,e,198,0,3963fea50,106ffccd970
conhost.exe,10e4,1a60,e,198,0,0,3963fead0
conhost.exe,10e4,1a60,e,198,0,3963fea50,106ffccd970
conhost.exe,10e4,1a60,e,198,0,3963fea50,106ffccd970
conhost.exe,10e4,1a60,7,4,0,0,0
conhost.exe,10e4,1a60,4,4,0,0,4
timeout.exe,1ba0,19fc,34,0,b43274f840,b432900000,b43274f760
dwm.exe,418,770,172,b6c,d7023ff2d0,1,d7023ff2c0
dwm.exe,418,770,1335,2,0,0,1
MsMpEng.exe,edc,1548,1d5,4c0,2244559db40,10,94b977fa98
dwm.exe,418,770,172,b6c,d7023ff5d0,1,d7023ff5c0
dwm.exe,418,770,5b,1,1f230176bc0,1,0
WMIADAP.exe,1094,1074,17,268,e4cfe8f1d8,2,e4cfe8f090
hyperdbg-cli.e,1008,1c20,7,1f4,0,0,0
OneDrive.exe,2060,21b4,4,c2c,0,9278aff668,9278aff7e0
MOM.exe,2284,22b0,34,1,bd101ff230,0,bd0f60a290
conhost.exe,1fd8,1f7c,1007,d027e,20,d027e,2000001
dwm.exe,418,770,90,46c,b6c,468,40001402
conhost.exe,1fd8,1f7c,1469,d027e,0,1f0d1ff0c8,1f0d1ff1d0
conhost.exe,1fd8,1f7c,5,1f0d1ffd70,18,0,1
dwm.exe,418,770,5b,1,1f230176bc0,1,0
dwm.exe,418,770,8c,468,0,0,0
