2024-05-08 13:38:09.284521,conhost.exe,1b50,14b4,104e,f007a,0,1eabe803314,24474ff800
2024-05-08 13:38:09.284707,hyperdbg-cli.e,16e4,1708,8,54,0,0,0
2024-05-08 13:38:09.327629,conhost.exe,1b50,14b4,100e,f007a,c01b,0,24474ff520
2024-05-08 13:38:09.358764,conhost.exe,1b50,14b4,1090,f007a,fffffffa,24474ff6c8,24474ff6a0
2024-05-08 13:38:09.389908,conhost.exe,1b50,14b4,100e,f007a,c01b,0,24474ff4d0
2024-05-08 13:38:09.421367,conhost.exe,1b50,14b4,1063,f007a,0,24474ff5f8,24474ff750
2024-05-08 13:38:09.452666,conhost.exe,1b50,14b4,100e,f007a,c01b,0,24474ff4d0
2024-05-08 13:38:09.483636,hyperdbg-cli.e,16e4,109c,3c,ffffffffffffffff,fffffffffffffffe,ffffffffffffffff,2565457c9c0
2024-05-08 13:38:09.514858,conhost.exe,1b50,1a68,7,4,0,0,0
2024-05-08 13:38:09.546206,conhost.exe,1b50,14b4,14ac,4010c72,1eabe3309a0,c72,1eabe650000
2024-05-08 13:38:09.577733,hyperdbg-cli.e,16e4,109c,48,d19cdff6d0,1f0003,0,0
2024-05-08 13:38:09.608759,conhost.exe,1b50,14b4,1006,24474ffda0,0,0,0
2024-05-08 13:38:09.639849,conhost.exe,1b50,1a68,e,198,0,ffffffff,244757eb80
2024-05-08 13:38:09.671107,hyperdbg-cli.e,16e4,109c,7,588,590,0,0
2024-05-08 13:38:09.702383,conhost.exe,1b50,1a68,100f,f007a,404,1eabe36d050,0
2024-05-08 13:38:09.733649,atieclxx.exe,808,80c,5b,2,155d8592450,1,0
2024-05-08 13:38:09.764593,atieclxx.exe,808,80c,7,104,0,0,0
2024-05-08 13:38:09.795955,atieclxx.exe,808,80c,20,1fc,0,155d8720f00,1
2024-05-08 13:38:09.827120,atieclxx.exe,808,80c,20,25c,0,155d8721140,1
2024-05-08 13:38:09.858498,atieclxx.exe,808,80c,5b,2,155d85875e0,1,0
2024-05-08 13:38:09.889721,atieclxx.exe,808,80c,5b,2,155d8592450,1,0
2024-05-08 13:38:09.920979,atieclxx.exe,808,80c,20,1fc,0,2b8474f228,10046
2024-05-08 13:38:09.952204,atieclxx.exe,808,80c,20,25c,0,2b8474f538,10046
2024-05-08 13:38:09.983616,atieclxx.exe,808,80c,5b,2,155d85875e0,1,0
2024-05-08 13:38:10.014832,atieclxx.exe,808,80c,5b,2,155d8592450,1,0
2024-05-08 13:38:10.046131,atieclxx.exe,808,80c,7,104,0,0,0
2024-05-08 13:38:10.077445,atieclxx.exe,808,80c,7,104,0,0,0
2024-05-08 13:38:10.108491,atieclxx.exe,808,80c,20,1fc,0,155d8721140,1
2024-05-08 13:38:10.139704,atieclxx.exe,808,80c,5b,2,155d8592450,1,0
2024-05-08 13:38:10.170932,atieclxx.exe,808,80c,7,104,0,0,0
2024-05-08 13:38:10.202306,atieclxx.exe,808,80c,20,1fc,0,155d8720f00,1
2024-05-08 13:38:10.233593,atieclxx.exe,808,80c,20,25c,0,155d8721140,1
2024-05-08 13:38:10.264668,atieclxx.exe,808,80c,5b,2,155d85875e0,1,0
2024-05-08 13:38:10.295954,atieclxx.exe,808,80c,5b,2,155d8592450,1,0
2024-05-08 13:38:10.327072,atieclxx.exe,808,80c,7,104,0,0,0
2024-05-08 13:38:10.358447,python.exe,6dc,19d4,3a,150,77138222d8,5d3ffedc00,8
2024-05-08 13:38:10.396738,explorer.exe,1fe4,4e4,f,17c,0,127ddb8,127de29
2024-05-08 13:38:10.427772,csrss.exe,234,55c,3f,b80,328010,8c0717f008,8
2024-05-08 13:38:10.459010,explorer.exe,1208,1df8,4,32c,0,1fad68,59
2024-05-08 13:38:10.490217,svchost.exe,1d0,2384,24,fffffffffffffffe,e,1,115ca7d5d0
2024-05-08 13:38:10.521484,explorer.exe,1208,97c,50,ffffffffffffffff,27dcb28,27dcb20,4
2024-05-08 13:38:10.552629,svchost.exe,c30,16a4,1a1,1c,9,aa4b4ff688,4
2024-05-08 13:38:10.583924,svchost.exe,c30,16a4,23,ffffffffffffffff,273c1000000,3,aa4b4fd0d8
2024-05-08 13:38:10.615206,svchost.exe,c30,16a4,15c,ffffffffffffffff,7,273c0589a40,70
2024-05-08 13:38:10.646386,svchost.exe,c30,16a4,1a1,1c,9,aa4b4ff88c,4
2024-05-08 13:38:10.677635,explorer.exe,1208,94,50,ffffffffffffffff,26ed1c8,26ed1c0,2
2024-05-08 13:38:10.709003,smartscreen.ex,2140,22ec,23,ffffffffffffffff,7ffb64020000,6,9c687dd10
2024-05-08 13:38:10.740311,smartscreen.ex,2140,2354,e,3c,0,7ffe0384,0
2024-05-08 13:38:10.771436,explorer.exe,1208,94,121,26ebd28,1,26ebdc0,0
2024-05-08 13:38:10.802719,explorer.exe,1208,94,50,ffffffffffffffff,26ecd08,26ecd00,4
2024-05-08 13:38:10.833971,svchost.exe,1694,3d8,f,288,ffffffffffffffff,0,0
2024-05-08 13:38:10.865241,ctfmon.exe,1340,2e0,1433,1cff,2df293a63a0,0,7fffffff
2024-05-08 13:38:10.896452,explorer.exe,1670,12ac,1010,1022a,0,0,a94ee90
2024-05-08 13:38:10.927804,smartscreen.ex,2140,2354,50,ffffffffffffffff,9c707dc88,9c707dc80,2
2024-05-08 13:38:10.958849,TextInputHost.,1254,1510,1486,1,178caff7b8,0,1cff
2024-05-08 13:38:10.990308,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff660,10
2024-05-08 13:38:11.021425,explorer.exe,1670,1718,100b,ffffffffda010c03,4050640,2409,da
2024-05-08 13:38:11.052984,dwm.exe,414,6e8,1b1,284,0,49cf1ffb70,30
2024-05-08 13:38:11.084116,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ffad0,10
2024-05-08 13:38:11.115256,explorer.exe,1670,1718,107e,ffffffffda010c03,0,0,1
2024-05-08 13:38:11.146578,explorer.exe,1670,1718,1023,ffffffffe9010c23,deb02c0,c23,c23
2024-05-08 13:38:11.177841,explorer.exe,1670,1718,1054,53010cbb,7ffb64b255f0,0,0
2024-05-08 13:38:11.208964,explorer.exe,1670,1718,100b,ffffffffea010c23,ffffffffea050c95,2469,ea
2024-05-08 13:38:11.240342,explorer.exe,1670,1718,102e,ffffffffea010c23,0,5,0
2024-05-08 13:38:11.271441,dwm.exe,414,6e8,4,cc8,0,49cf1fc678,1
2024-05-08 13:38:11.302774,explorer.exe,1670,1718,103f,ffffffff8a010c2f,7,31eeba0,8a
2024-05-08 13:38:11.333992,dwm.exe,414,6e8,4,ccc,0,49cf1fc678,49cf1fc900
2024-05-08 13:38:11.365302,explorer.exe,1670,1718,102b,ffffffff8a010c2f,9040c9d,1,0
2024-05-08 13:38:11.396374,explorer.exe,1670,1718,1020,ffffffff8a010c2f,f8,0,128
2024-05-08 13:38:11.427705,explorer.exe,1670,11cc,121,52cd668,20019,52cd688,0
2024-05-08 13:38:11.459091,explorer.exe,1670,1f78,1007,40366,4e,a005,2f6e820
2024-05-08 13:38:11.490021,explorer.exe,1670,1718,100e,10110,a915,0,31ee6f0
2024-05-08 13:38:11.521320,explorer.exe,1670,1718,1046,10110,a915,31ee818,0
2024-05-08 13:38:11.552532,explorer.exe,1670,1718,102e,5e010cbb,1f040b22,5,b22
2024-05-08 13:38:11.583979,explorer.exe,1670,1718,100e,10112,a915,0,31eec70
2024-05-08 13:38:11.615315,explorer.exe,1670,1718,102b,fffffffffb010c23,23040c9d,1,0
2024-05-08 13:38:11.646485,explorer.exe,1670,1718,104c,100a6,a915,1,0
2024-05-08 13:38:11.677772,explorer.exe,1670,1718,1038,fffffffffb010c23,0,0,12
2024-05-08 13:38:11.709007,explorer.exe,1670,1718,100e,100a6,a915,0,31ee060
