2024-05-03 14:52:58.273440,dwm.exe,410,6ac,3e,924,24a5a5ec5f0,1,a42f7cfb60
2024-05-03 14:52:58.273588,hyperdbg-cli.e,18f4,490,8,54,0,0,0
2024-05-03 14:52:58.307795,dwm.exe,410,6ac,172,928,a42f7cf4d0,1,a42f7cf4c0
2024-05-03 14:52:58.339065,dwm.exe,410,6ac,5b,3,24a5a3a7b30,1,0
2024-05-03 14:52:58.370446,hyperdbg-cli.e,18f4,26d0,3c,ffffffffffffffff,fffffffffffffffe,ffffffffffffffff,2aadd995620
2024-05-03 14:52:58.401678,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:52:58.433002,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:52:58.464116,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:52:58.495526,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:52:58.526532,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:52:58.557806,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:52:58.589167,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:52:58.620539,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:52:58.651851,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:52:58.682944,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:52:58.714101,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:52:58.745497,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:52:58.776500,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:52:58.807554,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:52:58.839046,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:52:58.870425,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:52:58.901472,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,1
2024-05-03 14:52:58.932515,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:52:58.964069,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:52:58.995394,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:52:59.026515,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:52:59.057669,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:52:59.088931,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:52:59.120420,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:52:59.151627,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:52:59.182771,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:52:59.214055,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:52:59.245192,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:52:59.276242,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:52:59.307596,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:52:59.338996,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:52:59.370146,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:52:59.401477,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:52:59.432626,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:52:59.464078,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:52:59.495147,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:52:59.526507,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:52:59.557799,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:52:59.588899,TiWorker.exe,27a0,26a8,1e,ffffffffffffffff,f8179cf788,f8179cf780,8000
2024-05-03 14:52:59.620124,TrustedInstall,24a8,1318,f,1c8,ffffffffffffffff,0,0
2024-05-03 14:52:59.651317,TrustedInstall,24a8,1318,f,1d0,ffffffffffffffff,0,0
2024-05-03 14:52:59.682391,TrustedInstall,24a8,1318,34,0,e70017fa30,e77ff33000,1
2024-05-03 14:52:59.713823,TrustedInstall,24a8,1318,10,240,4,e70017fa88,2
2024-05-03 14:52:59.745101,TrustedInstall,24a8,1318,5c,240,4,e70017fa88,2
2024-05-03 14:52:59.776817,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:52:59.808466,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:52:59.838981,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:52:59.870213,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:52:59.901535,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:52:59.932668,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:52:59.964000,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:52:59.995358,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
